task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
feature	midden	ig	41	107890	3486170	0.030627887696027756	61	40
feature	midden	ig	42	18542	2903341	0.030119260773062706	82	40
feature	midden	ig	43	69533	3342375	0.029868233948946	69	40
feature	midden	ig	44	41092	3109619	0.029607856646180153	82	40
feature	midden	ig	45	105054	3475794	0.029521211981773376	67	40
feature	midden	ig	46	87348	3418309	0.029492640867829323	93	40
feature	midden	ig	47	42308	3129355	0.02941177412867546	78	40
feature	midden	ig	48	66856	3331978	0.029309362173080444	112	40
feature	midden	ig	49	41591	3110222	0.029122257605195045	117	40
feature	midden	ig	50	76450	3383942	0.028836697340011597	68	40
feature	midden	gxi	1	70924	3344861	0.13145680725574493	61	40
feature	midden	gxi	2	10249	2855824	0.11910434812307358	61	40
feature	midden	gxi	3	93145	3437749	0.09112145751714706	64	40
feature	midden	gxi	4	78736	3391086	0.06677673757076263	68	40
feature	midden	gxi	5	63578	3321701	0.054753877222537994	71	40
feature	midden	gxi	6	31889	3023029	0.054401945322752	83	40
feature	midden	gxi	7	99387	3457586	0.05282806232571602	67	40
feature	midden	gxi	8	97468	3449943	0.052458155900239944	156	40
feature	midden	gxi	9	4737	2821412	0.05122945457696915	84	40
feature	midden	gxi	10	99522	3458410	0.0502665750682354	63	40
feature	midden	gxi	11	96310	3448210	0.04805489629507065	61	40
feature	midden	gxi	12	40242	3086093	0.04738830775022507	73	40
feature	midden	gxi	13	44025	3135386	0.04623832553625107	70	40
feature	midden	gxi	14	105411	3476413	0.04405175894498825	87	40
feature	midden	gxi	15	101159	3462275	0.04254601150751114	62	40
feature	midden	gxi	16	37895	3079080	0.042376600205898285	69	40
feature	midden	gxi	17	41496	3110119	0.04121788963675499	145	40
feature	midden	gxi	18	64995	3326663	0.04074178263545036	117	40
feature	midden	gxi	19	32145	3023679	0.039478104561567307	67	40
feature	midden	gxi	20	42883	3130914	0.03884383663535118	76	40
feature	midden	gxi	21	46892	3163816	0.037644244730472565	68	40
feature	midden	gxi	22	105242	3476150	0.037214796990156174	84	40
feature	midden	gxi	23	102182	3465538	0.03651019185781479	61	40
feature	midden	gxi	24	107899	3486275	0.035672299563884735	62	40
feature	midden	gxi	25	93568	3438610	0.03549191728234291	89	40
feature	midden	gxi	26	87903	3419001	0.033367931842803955	67	40
feature	midden	gxi	27	77085	3385494	0.033320777118206024	65	40
feature	midden	gxi	28	2634	2812130	0.03254777193069458	156	40
feature	midden	gxi	29	80362	3396206	0.032496128231287	83	40
feature	midden	gxi	30	107890	3486170	0.03244200348854065	61	40
feature	midden	gxi	31	49885	3217514	0.03174974396824837	61	40
feature	midden	gxi	32	2317	2811809	0.030705804005265236	115	40
feature	midden	gxi	33	46906	3163832	0.03012779913842678	76	40
feature	midden	gxi	34	87348	3418309	0.03012044169008732	93	40
feature	midden	gxi	35	76450	3383942	0.030084585770964622	68	40
feature	midden	gxi	36	9861	2834815	0.029705971479415894	112	40
feature	midden	gxi	37	480	2807158	0.02963375486433506	90	40
feature	midden	gxi	38	102362	3465923	0.029100075364112854	78	40
feature	midden	gxi	39	41591	3110222	0.029084235429763794	117	40
feature	midden	gxi	40	41092	3109619	0.02896386943757534	82	40
feature	midden	gxi	41	60333	3291503	0.028428733348846436	74	40
feature	midden	gxi	42	91350	3431148	0.027886364609003067	94	40
feature	midden	gxi	43	76233	3381122	0.02751976251602173	217	40
feature	midden	gxi	44	42308	3129355	0.026863370090723038	78	40
feature	midden	gxi	45	90818	3430514	0.026851709932088852	61	40
feature	midden	gxi	46	10372	2856150	0.026063209399580956	64	40
feature	midden	gxi	47	69533	3342375	0.02554420568048954	69	40
