task	regime	arm	n_classes	f1_fraction	f1_arm	delta	ci_low	ci_high	frac_boot_positive	verdict
feature	few-shot	seq_encoder_shuffled	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	attn_pool	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	attn_pool_shuffled	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	dna_max	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	dna_mean	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	dna_max_shuffled	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	dna_mean_shuffled	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	offlist	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	offlist_shuffled	1	0.0	0.07407407407407407	0.07407407407407407	0.0	0.17448849104859313	0.6809623430962343	tie
feature	medium-shot	abundance	1	0.02631578947368421	0.16666666666666666	0.14035087719298245	-0.1111111111111111	0.46585308320886315	0.644703497212367	tie
feature	medium-shot	presence_absence	1	0.02631578947368421	0.10526315789473684	0.07894736842105263	0.0	0.25	0.8792319353208691	tie
feature	medium-shot	frac_plus_kmer4	1	0.02631578947368421	0.04597701149425287	0.019661222020568664	-0.02999928530588908	0.07556407984454477	0.6866734486266531	tie
feature	medium-shot	frac_plus_clusters	1	0.02631578947368421	0.029850746268656716	0.0035349567949725068	-0.0009856789250353613	0.041414544131935405	0.5933062880324543	tie
feature	medium-shot	seq_encoder	1	0.02631578947368421	0.0	-0.02631578947368421	-0.125	0.0	0.0	tie
feature	medium-shot	seq_encoder_shuffled	1	0.02631578947368421	0.0	-0.02631578947368421	-0.11940298507462686	0.0	0.0	tie
feature	medium-shot	attn_pool	1	0.02631578947368421	0.0	-0.02631578947368421	-0.12121212121212122	0.0	0.0	tie
feature	medium-shot	attn_pool_shuffled	1	0.02631578947368421	0.0	-0.02631578947368421	-0.12121212121212122	0.0	0.0	tie
feature	medium-shot	dna_max	1	0.02631578947368421	0.0	-0.02631578947368421	-0.12903225806451613	0.0	0.0	tie
feature	medium-shot	dna_mean	1	0.02631578947368421	0.04819277108433735	0.021876981610653143	-0.02798448009667058	0.10593488072211486	0.7203260315843097	tie
feature	medium-shot	dna_max_shuffled	1	0.02631578947368421	0.025974025974025976	-0.00034176349965823333	-0.020351189557471384	0.020109654496446885	0.30988786952089703	tie
feature	medium-shot	dna_mean_shuffled	1	0.02631578947368421	0.14084507042253522	0.11452928094885101	0.0	0.34800677583286277	0.8857287963433215	tie
feature	medium-shot	offlist	1	0.02631578947368421	0.0	-0.02631578947368421	-0.125	0.0	0.0	tie
feature	medium-shot	offlist_shuffled	1	0.02631578947368421	0.1875	0.1611842105263158	-0.1111111111111111	0.530096655597723	0.6620934959349594	tie
feature	many-shot	abundance	2	0.5781988281988282	0.680193643213472	0.1019948150146438	-0.03551786979979415	0.24178328765790097	0.9285	tie
feature	many-shot	presence_absence	2	0.5781988281988282	0.7113441067077081	0.13314527850887992	-0.01847264334665257	0.2648271387771873	0.9585	tie
feature	many-shot	frac_plus_kmer4	2	0.5781988281988282	0.44123863876558866	-0.1369601894332395	-0.20936223668209183	-0.005238497691628731	0.022	WORSE
