task	BioProject	project_name	N_total	N_wrong	error_rate	N_conf_wrong	conf_wrong_rate	mean_confidence_on_errors
sample_type	PRJEB24619	Bieker2020	4	0	0.0	0	0.0	
sample_type	PRJEB30280	Jensen2019	9	6	0.6667	0	0.0	
sample_type	PRJEB30331	Velsko2019	14	0	0.0	0	0.0	
sample_type	PRJEB33363	Brealey2020	5	0	0.0	0	0.0	
sample_type	PRJEB33577	Hagan2019	3	0	0.0	0	0.0	
sample_type	PRJEB33717	Gaffney2020	3	1	0.3333	0	0.0	
sample_type	PRJEB33848	Neukamm2020	24	0	0.0	0	0.0	
sample_type	PRJEB34569	FellowsYates2021	42	2	0.0476	0	0.0	
sample_type	PRJEB34825	Bieker2020	1	0	0.0	0	0.0	
sample_type	PRJEB34875	Ottoni2019	10	0	0.0	0	0.0	
sample_type	PRJEB35483	Fagernas2020	5	0	0.0	0	0.0	
sample_type	PRJEB37914	Ardelean2020	6	0	0.0	0	0.0	
sample_type	PRJEB39351	Iwanska2022	1	0	0.0	0	0.0	
sample_type	PRJEB40358		5	1	0.2	0	0.0	
sample_type	PRJEB41240	SeguinOrlando2021	18	0	0.0	0	0.0	
sample_type	PRJEB41420	Gelabert2021	1	0	0.0	0	0.0	
sample_type	PRJEB41539		1	1	1.0	0	0.0	
sample_type	PRJEB41665	Rampelli2021	3	0	0.0	0	0.0	
sample_type	PRJEB42014	Brealey2021	38	0	0.0	0	0.0	
sample_type	PRJEB42399		2	0	0.0	0	0.0	
sample_type	PRJEB43389	Granehall2021	2	0	0.0	0	0.0	
sample_type	PRJEB43506	Courtin2022	3	0	0.0	0	0.0	
sample_type	PRJEB44163		10	7	0.7	0	0.0	
sample_type	PRJEB44313	Ottoni2021	1	0	0.0	0	0.0	
sample_type	PRJEB44723	Sarhan2023	2	1	0.5	0	0.0	
sample_type	PRJEB46022	Fagernas2022	16	2	0.125	0	0.0	
sample_type	PRJEB46821	Zimmermann2023	1	0	0.0	0	0.0	
sample_type	PRJEB49638	Moraitou2022	20	4	0.2	0	0.0	
sample_type	PRJEB52394	Velsko2022	28	0	0.0	0	0.0	
sample_type	PRJEB55522	Kjaer2022	1	0	0.0	0	0.0	
sample_type	PRJEB56776	Kimsis2023	1	0	0.0	0	0.0	
sample_type	PRJEB58818	Fontani2023	1	0	0.0	0	0.0	
sample_type	PRJEB60029		3	0	0.0	0	0.0	
sample_type	PRJEB61887	Velsko2024	122	4	0.0328	0	0.0	
sample_type	PRJEB64128	Jackson2024	73	5	0.0685	0	0.0	
sample_type	PRJEB65298		4	4	1.0	0	0.0	
sample_type	PRJEB66300	Buchwald2024	4	0	0.0	0	0.0	
sample_type	PRJEB67363	Fiorin2024	4	0	0.0	0	0.0	
sample_type	PRJEB6766	Smith2015	2	0	0.0	0	0.0	
sample_type	PRJEB67998	Bozzi2024	19	6	0.3158	0	0.0	
sample_type	PRJEB71693		9	1	0.1111	0	0.0	
sample_type	PRJEB74036	Liu2024	21	0	0.0	0	0.0	
sample_type	PRJEB80877	vonHippel2025	46	0	0.0	0	0.0	
sample_type	PRJNA1004851	Murchie2023	8	0	0.0	0	0.0	
sample_type	PRJNA1037120	Fleskes2024	12	0	0.0	0	0.0	
sample_type	PRJNA1056444	Austin2024	39	2	0.0513	0	0.0	
sample_type	PRJNA1211513	Schreiber2025	48	0	0.0	0	0.0	
sample_type	PRJNA205039	Campana2014	1	0	0.0	0	0.0	
sample_type	PRJNA230469	Appelt2014	1	0	0.0	0	0.0	
sample_type	PRJNA255922		10	2	0.2	0	0.0	
sample_type	PRJNA302605	Willmann2018	1	0	0.0	0	0.0	
sample_type	PRJNA320875	Graham2016	12	0	0.0	0	0.0	
sample_type	PRJNA336855		11	2	0.1818	0	0.0	
sample_type	PRJNA339123	Bieker2020	2	0	0.0	0	0.0	
sample_type	PRJNA354503	Philips2017	12	0	0.0	0	0.0	
sample_type	PRJNA378719	Ahmed2018	2	0	0.0	0	0.0	
sample_type	PRJNA380727		5	0	0.0	0	0.0	
sample_type	PRJNA433935		5	0	0.0	0	0.0	
sample_type	PRJNA445215	Mann2018	12	0	0.0	0	0.0	
sample_type	PRJNA48479		19	4	0.2105	0	0.0	
sample_type	PRJNA488629	Moore2020	1	0	0.0	0	0.0	
sample_type	PRJNA522291	Moguel2021	2	0	0.0	0	0.0	
sample_type	PRJNA553005		3	3	1.0	0	0.0	
sample_type	PRJNA558683	Armbrecht2020	7	0	0.0	0	0.0	
sample_type	PRJNA573108	Dommain2020	5	0	0.0	0	0.0	
sample_type	PRJNA657304	Witt2021	1	0	0.0	0	0.0	
sample_type	PRJNA680161	Liang2021	2	0	0.0	0	0.0	
sample_type	PRJNA685265	Weyrich2017	1	0	0.0	0	0.0	
sample_type	PRJNA688065	Farrer2021	3	0	0.0	0	0.0	
sample_type	PRJNA704183	Wright2024	4	0	0.0	0	0.0	
sample_type	PRJNA706003		4	4	1.0	0	0.0	
sample_type	PRJNA706195		5	5	1.0	0	0.0	
sample_type	PRJNA739881	Modi2021	1	0	0.0	0	0.0	
sample_type	PRJNA769968		1	1	1.0	0	0.0	
sample_type	PRJNA791766	Quagliariello2022	9	1	0.1111	0	0.0	
sample_type	PRJNA794308	Perez2022	2	0	0.0	0	0.0	
sample_type	PRJNA799832		2	2	1.0	0	0.0	
sample_type	PRJNA836960	Madison2023	11	2	0.1818	0	0.0	
sample_type	PRJNA861836	Armbrecht2022	6	0	0.0	0	0.0	
sample_type	PRJNA862077		1	1	1.0	0	0.0	
sample_type	PRJNA885571	Honap2023	2	0	0.0	0	0.0	
sample_type	PRJNA957541	Perez2023	2	0	0.0	0	0.0	
sample_type	PRJNA994900	Kirdok2024	70	31	0.4429	0	0.0	
sample_type	Unknown	MGYS00006821	9	4	0.4444	0	0.0	
