target,model,dropped_project,n_dropped,f1_without,f1_full
sample_host,MajorityClass,PRJNA660212,3,0.15320566194837634,0.15327257663628832
sample_host,MajorityClass,PRJNA685265,19,0.1534526854219949,0.15327257663628832
sample_host,MajorityClass,PRJNA704183,4,0.1531832082290798,0.15327257663628832
sample_host,MajorityClass,PRJNA739881,3,0.15320566194837634,0.15327257663628832
sample_host,MajorityClass,PRJNA994900,70,0.15151515151515152,0.15327257663628832
sample_host,LogisticRegression_Bal,PRJEB11511,17,0.6293050748508132,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB30280,9,0.6289341772099964,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB30331,76,0.6280187141779238,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB31971,6,0.6289771032148227,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB34825,38,0.5802259807522965,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB41240,238,0.6266134588062832,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB41665,14,0.6855249714024851,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB44723,8,0.6289485384353637,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB55789,2,0.6290336101082481,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB56776,15,0.6288468876783219,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB58818,2,0.6290336101082481,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB67998,19,0.6287876038789277,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJEB78615,13,0.6412215067024505,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA1056444,39,0.6288173564859999,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA302605,5,0.6289913073448824,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA531027,19,0.5604520716979221,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA557308,1,0.6290476087561435,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA608555,15,0.6288468876783219,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA640385,8,0.6327716081466735,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA657304,9,0.6987725171978193,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA660212,3,0.62901956050986,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA685265,19,0.6160702873479534,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA704183,4,0.6290054596823073,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA739881,3,0.62901956050986,0.6290615567302003
sample_host,LogisticRegression_Bal,PRJNA994900,70,0.6481143735384349,0.6290615567302003
sample_host,LinearSVM_Bal,PRJEB11511,17,0.5794492475687992,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB30280,9,0.5798772775607612,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB30331,76,0.5785007115580032,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB31971,6,0.5796038084794358,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB34825,38,0.509321304512756,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB41240,238,0.5763130977289714,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB41665,14,0.676786963088333,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB44723,8,0.5795761634385089,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB55789,2,0.5796585056381597,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB56776,15,0.5794778123482581,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB58818,2,0.5796585056381597,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB67998,19,0.5794204721734549,0.579685561979808
sample_host,LinearSVM_Bal,PRJEB78615,13,0.6329133361420357,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA1056444,39,0.5791206022640774,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA302605,5,0.5796175564849642,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA531027,19,0.501198237701058,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA557308,1,0.5796720579448819,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA608555,15,0.5794778123482581,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA640385,8,0.5795761634385089,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA657304,9,0.6971650932940621,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA660212,3,0.579644904800348,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA685265,19,0.5331144461674083,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA704183,4,0.5796312551702932,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA739881,3,0.579644904800348,0.579685561979808
sample_host,LinearSVM_Bal,PRJNA994900,70,0.5859079858514877,0.579685561979808
sample_host,RandomForest,PRJEB11511,17,0.3866799569212438,0.3861609934780666
sample_host,RandomForest,PRJEB30280,9,0.38602223734967095,0.3861609934780666
sample_host,RandomForest,PRJEB30331,76,0.3848316342292246,0.3861609934780666
sample_host,RandomForest,PRJEB31971,6,0.38606897797038636,0.3861609934780666
sample_host,RandomForest,PRJEB34825,38,0.2972393460198338,0.3861609934780666
sample_host,RandomForest,PRJEB41240,238,0.3810650887573965,0.3861609934780666
sample_host,RandomForest,PRJEB41665,14,0.3879701796001355,0.3861609934780666
sample_host,RandomForest,PRJEB44723,8,0.3860378726103108,0.3861609934780666
sample_host,RandomForest,PRJEB55789,2,0.3861305361305361,0.3861609934780666
sample_host,RandomForest,PRJEB56776,15,0.3859272510435301,0.3861609934780666
sample_host,RandomForest,PRJEB58818,2,0.3861305361305361,0.3861609934780666
sample_host,RandomForest,PRJEB67998,19,0.3858627858627859,0.3861609934780666
sample_host,RandomForest,PRJEB78615,13,0.46522698058318107,0.3861609934780666
sample_host,RandomForest,PRJNA1056444,39,0.3855260004792715,0.3861609934780666
sample_host,RandomForest,PRJNA302605,5,0.3860844486503538,0.3861609934780666
sample_host,RandomForest,PRJNA531027,19,0.35770314192849406,0.3861609934780666
sample_host,RandomForest,PRJNA557308,1,0.3861457913813935,0.3861609934780666
sample_host,RandomForest,PRJNA608555,15,0.3859272510435301,0.3861609934780666
sample_host,RandomForest,PRJNA640385,8,0.3860378726103108,0.3861609934780666
sample_host,RandomForest,PRJNA657304,9,0.46489092996555686,0.3861609934780666
