dim	activation_sd	eta2_feature	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
24	0.3704703152179718	0.761608362197876	-0.5804954308526088	1.7262788880583038e-244	-0.5845515482016079	1.0439443536609128e-248	feature	0.761608362197876	0.5845515482016079	False
25	0.312061071395874	0.8760002255439758	-0.6956760512520127	0.0	-0.7596685035279408	0.0	feature	0.8760002255439758	0.7596685035279408	False
26	0.45551106333732605	0.7424818277359009	0.0715267604013292	0.00019094965768872305	0.0044646106016216006	0.8160965834394425	feature	0.7424818277359009	0.0715267604013292	False
27	0.27455875277519226	0.8664037585258484	-0.524643948258596	5.485241527320384e-192	-0.5803973899896739	2.1794214150802166e-244	feature	0.8664037585258484	0.5803973899896739	False
28	0.4228091239929199	0.7561020255088806	0.5862361499460781	1.7745304140473217e-250	0.6224052515355899	3.992147014517029e-291	feature	0.7561020255088806	0.6224052515355899	False
29	0.09787139296531677	0.4271937906742096	0.24467364464053504	2.588461170685133e-38	0.2719196767358595	3.004487682378346e-47	feature	0.4271937906742096	0.2719196767358595	False
30	0.3559854030609131	0.8840592503547668	-0.5838159824497755	6.139069109404652e-248	-0.6167247593147586	2.1778354274413805e-284	feature	0.8840592503547668	0.6167247593147586	False
31	0.2693467438220978	0.795991837978363	-0.6445430412985282	9.26838e-319	-0.6198304721313369	4.698576150462152e-288	feature	0.795991837978363	0.6445430412985282	False
32	0.27913764119148254	0.8534526228904724	-0.6229700166387416	8.390760819812134e-292	-0.5936365023130793	2.242605394130518e-258	feature	0.8534526228904724	0.6229700166387416	False
33	0.5438036322593689	0.6952665448188782	0.6792085860430336	0.0	0.6271835610529686	6.693264891827988e-297	feature	0.6952665448188782	0.6792085860430336	False
34	0.4855974316596985	0.8690969347953796	0.40645929454676977	1.4327819658097405e-108	0.51433940914236	2.4547877981243715e-183	feature	0.8690969347953796	0.51433940914236	False
35	0.43947118520736694	0.7183243632316589	-0.5134635845544498	1.2931317576158868e-182	-0.6228483031180835	1.174648087811506e-291	feature	0.7183243632316589	0.6228483031180835	False
36	0.5496432781219482	0.7563210129737854	0.5921557374957231	8.863236900806453e-257	0.6509155333216483	0.0	feature	0.7563210129737854	0.6509155333216483	False
37	0.2690931260585785	0.7955382466316223	-0.3533575131726232	1.0813091335475549e-80	-0.3495325456575794	7.020856346863403e-79	feature	0.7955382466316223	0.3533575131726232	False
38	0.4136912226676941	0.721934974193573	0.3090908093735675	3.279044656555889e-61	0.20209755993987566	1.9948959069685754e-26	feature	0.721934974193573	0.3090908093735675	False
39	0.4711102843284607	0.8139781355857849	0.4966876560668004	3.428706303377172e-169	0.4555586791134812	2.7725801108402896e-139	feature	0.8139781355857849	0.4966876560668004	False
40	0.218279629945755	0.866492509841919	0.3581047876183407	5.614345752814171e-83	0.41466707670001574	2.3455677249887392e-113	feature	0.866492509841919	0.41466707670001574	False
41	0.28263571858406067	0.8701436519622803	0.1638862102345077	8.310916583476886e-18	0.21064772030024206	1.2878542393960745e-28	feature	0.8701436519622803	0.21064772030024206	False
42	0.4375021755695343	0.7721524834632874	-0.44882725100332305	9.107055380634652e-135	-0.4687227667104938	2.050378948256845e-148	feature	0.7721524834632874	0.4687227667104938	False
43	0.2521381676197052	0.6995581388473511	-0.4247002707256038	2.1650901053894768e-119	-0.44859314507238657	1.3020631894966037e-134	feature	0.6995581388473511	0.44859314507238657	False
44	0.5193048119544983	0.7454115748405457	0.5906135277158284	3.998491349420683e-255	0.5241240694513787	1.523422119740401e-191	feature	0.7454115748405457	0.5906135277158284	False
45	0.3421449065208435	0.7568869590759277	0.5765202525624111	2.0613648157352115e-240	0.5282079532251605	4.753958292326926e-195	feature	0.7568869590759277	0.5765202525624111	False
46	0.4536854028701782	0.755062997341156	0.38060561858601316	2.3864462499838577e-94	0.3115214770649155	3.377751515332715e-62	feature	0.755062997341156	0.38060561858601316	False
47	0.20724351704120636	0.7520942091941833	-0.560503123795189	1.5392138920571141e-224	-0.5770878837581574	5.4375914020365695e-241	feature	0.7520942091941833	0.5770878837581574	False
48	0.28612008690834045	0.8446604609489441	-0.05956142457087989	0.0019003013739077158	0.002947797327294913	0.8779607550386287	feature	0.8446604609489441	0.05956142457087989	False
49	0.2444927841424942	0.80191969871521	0.49378077336896165	6.107615547510725e-167	0.5114169190340648	6.162800260037848e-181	feature	0.80191969871521	0.5114169190340648	False
50	0.3721173107624054	0.7177098393440247	-0.5706662867058881	1.6484266417751396e-234	-0.6857135278517749	0.0	feature	0.7177098393440247	0.6857135278517749	False
51	0.2759699523448944	0.8854576945304871	-0.17695906942010114	1.522158945587701e-20	-0.18096929276970464	1.990799956865773e-21	feature	0.8854576945304871	0.18096929276970464	False
52	0.4073435068130493	0.7304502129554749	0.3317637806456021	8.724041782449448e-71	0.38524058814230905	8.338649327707711e-97	feature	0.7304502129554749	0.38524058814230905	False
53	0.06881817430257797	0.7127465605735779	-0.6712330623977073	0.0	-0.6810654537631698	0.0	feature	0.7127465605735779	0.6810654537631698	False
54	0.2296099066734314	0.7735248804092407	-0.5664151973650187	2.690031564671382e-230	-0.5810130651067396	5.035771922721579e-245	feature	0.7735248804092407	0.5810130651067396	False
55	0.5700216889381409	0.754406750202179	0.5102253517233026	5.774632721934552e-180	0.4572508316899855	1.9564471894434273e-140	feature	0.754406750202179	0.5102253517233026	False
56	0.2917618453502655	0.8810396790504456	-0.5511027676763692	1.276835512127453e-215	-0.5109464042881903	1.4926341048254298e-180	feature	0.8810396790504456	0.5511027676763692	False
57	0.505098283290863	0.8312298655509949	-0.50580867303084	2.1376305007124758e-176	-0.5975403354283223	1.2613061977221022e-262	feature	0.8312298655509949	0.5975403354283223	False
58	0.2632030248641968	0.7607386112213135	-0.767212374521095	0.0	-0.7527414153167207	0.0	feature	0.7607386112213135	0.767212374521095	False
59	0.22170358896255493	0.7497069239616394	-0.7266673964807038	0.0	-0.712030533489596	0.0	feature	0.7497069239616394	0.7266673964807038	False
60	0.21191784739494324	0.8384026885032654	-0.6184831287919492	1.8512327946050911e-286	-0.706107393631892	0.0	feature	0.8384026885032654	0.706107393631892	False
61	0.5006054639816284	0.792086660861969	0.514578912254253	1.5570755824738795e-183	0.4654321256698379	4.285518173116249e-146	feature	0.792086660861969	0.514578912254253	False
62	0.5093924403190613	0.844289243221283	-0.46707621241032227	2.99202572769161e-147	-0.5429703259421237	3.941980433723342e-208	feature	0.844289243221283	0.5429703259421237	False
63	0.4265958368778229	0.7315400838851929	-0.4406760095132932	1.9684072086350647e-129	-0.49676744756950136	2.971953167079485e-169	feature	0.7315400838851929	0.49676744756950136	False
64	0.2793499827384949	0.7860535383224487	-0.38208676431030575	3.953941413777378e-95	-0.32645811037152056	1.802385122453663e-68	feature	0.7860535383224487	0.38208676431030575	False
